AREA_CD,CATEGORY,AREA_NM,ADM_CD,ADM_NM,overlap_area,poi_area,poi_share
POI026,인구밀집지역,미아사거리역,11080710,월곡1동,12976.253656608145,323479.2586541811,0.04011463891253858
POI027,인구밀집지역,발산역,11160751,가양1동,136310.0394472845,387846.7237726177,0.3514533734393456
POI027,인구밀집지역,발산역,11160540,등촌3동,129650.02684658642,387846.7237726177,0.3342816089445586
POI027,인구밀집지역,발산역,11160740,우장산동,98094.15123929908,387846.7237726177,0.2529198913558661
POI027,인구밀집지역,발산역,11160670,발산1동,23648.871689330557,387846.7237726177,0.06097478782158063
POI027,인구밀집지역,발산역,11160610,화곡6동,143.6345501086951,387846.7237726177,0.0003703384386273777
POI029,인구밀집지역,사당역,11200630,사당1동,147770.64267383495,347033.09176304546,0.42581138854254535
POI029,인구밀집지역,사당역,11220630,방배2동,126956.84250225048,347033.09176304546,0.3658349751525619
POI029,인구밀집지역,사당역,11210630,남현동,72305.60658697646,347033.09176304546,0.20835363630494003
POI030,인구밀집지역,삼각지역,11030730,한강로동,60724.01445349921,62810.139006638914,0.9667868184001438
POI030,인구밀집지역,삼각지역,11030530,남영동,2086.1245531373565,62810.139006638914,0.03321318159981874
POI031,인구밀집지역,서울대입구역,11210580,낙성대동,71725.46006086568,206419.58025861948,0.34747411060037087
POI031,인구밀집지역,서울대입구역,11210800,청룡동,55984.263769577476,206419.58025861948,0.27121585897731104
POI031,인구밀집지역,서울대입구역,11210570,행운동,45743.91939490329,206419.58025861948,0.22160649361650447
POI031,인구밀집지역,서울대입구역,11210610,중앙동,32965.93703327954,206419.58025861948,0.15970353680584512
POI032,인구밀집지역,서울식물원·마곡나루역,11160751,가양1동,512120.00083079666,590133.7831696611,0.867803226041652
POI032,인구밀집지역,서울식물원·마곡나루역,11160700,방화1동,78013.78233884828,590133.7831696611,0.13219677395832063
POI033,인구밀집지역,서울역,11020540,회현동,376009.39846743597,376035.543161446,0.9999304728117182
POI033,인구밀집지역,서울역,11030530,남영동,14.543527190789062,376035.543161446,3.867593756834041e-05
POI033,인구밀집지역,서울역,11020680,중림동,5.44513092147447,376035.543161446,1.4480362350046983e-05
POI033,인구밀집지역,서울역,11020520,소공동,3.3493030016554,376035.543161446,8.906878784640366e-06
POI033,인구밀집지역,서울역,11030510,후암동,2.7536683751351427,376035.543161446,7.322893873233922e-06
POI034,인구밀집지역,선릉역,11230590,삼성2동,387868.63940121396,767210.1661360884,0.5055572208520677
POI034,인구밀집지역,선릉역,11230630,대치4동,190126.25020878497,767210.1661360884,0.24781508196941723
POI034,인구밀집지역,선릉역,11230640,역삼1동,119301.73993835629,767210.1661360884,0.155500728749721
POI034,인구밀집지역,선릉역,11230650,역삼2동,68463.80756471907,767210.1661360884,0.0892373570980222
POI034,인구밀집지역,선릉역,11230790,대치2동,1449.729023010691,767210.1661360884,0.0018896113307673985
POI035,인구밀집지역,성신여대입구역,11080830,동선동,89143.40649880517,114055.39684034894,0.7815799073811933
POI035,인구밀집지역,성신여대입구역,11080820,삼선동,24911.990341543664,114055.39684034894,0.21842009261880577
POI036,인구밀집지역,수유역,11090650,수유3동,437702.36170143867,457024.48904328607,0.9577218993619019
POI036,인구밀집지역,수유역,11090600,번1동,13958.482349282556,457024.48904328607,0.03054208840865967
POI036,인구밀집지역,수유역,11090640,수유2동,5356.73843847671,457024.48904328607,0.011720900229417157
POI036,인구밀집지역,수유역,11100530,쌍문3동,6.448212288267613,457024.48904328607,1.4109117657493589e-05
POI037,인구밀집지역,신논현역·논현역,11230520,논현1동,140620.38426097593,194951.6593352316,0.7213089888051188
